hanzi,level,pinyin,definition
标准,4,biao1 zhun3,(an official) standard; norm; criterion; CL:個|个[ge4],
表达,4,biao3 da2,to voice (an opinion); to express; to convey,
表格,4,biao3 ge2,"form; table; CL:張|张[zhang1],份[fen4]",
表决,6,biao3 jue2,decide by vote; vote,
表面,5,biao3 mian4,surface; face; outside; appearance,
表明,5,biao3 ming2,to make clear; to make known; to state clearly; to indicate; known,
表情,5,biao3 qing2,(facial) expression; to express one's feelings; expression,
表示,3,biao3 shi4,to express; to show; to say; to state; to indicate; to mean,
表态,6,biao3 tai4,to declare one's position; to say where one stands,
表现,5,biao3 xian4,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),
表演,3,biao3 yan3,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],
表扬,4,biao3 yang2,to praise; to commend,
表彰,6,biao3 zhang1,cite (in dispatches); commend,
憋,6,bie1,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath),
别,2,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,
别人,6,bie2 ren5,other people; others; other person,
别墅,6,bie2 shu4,"villa; CL:幢[zhuang4],座[zuo4]",
别致,6,bie2 zhi4,unusual; unique,
别扭,6,bie4 niu5,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech),
宾馆,3,bin1 guan3,"guesthouse; CL:個|个[ge4],家[jia1]",
濒临,6,bin1 lin2,on the verge of; close to,
冰雹,6,bing1 bao2,"hail; hailstone; CL:場|场[chang2],粒[li4]",
冰箱,3,bing1 xiang1,"icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]",
丙,5,bing3,"third of 10 heavenly stems 十天干; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl",
饼干,4,bing3 gan1,"biscuit; cracker; cookie; CL:片[pian4],塊|块[kuai4]",
并存,6,bing4 cun2,to exist at the same time; to coexist,
病毒,5,bing4 du2,virus,
并非,6,bing4 fei1,really isn't,
并列,6,bing4 lie4,to stand side by side; to be juxtaposed,
并且,4,bing4 qie3,and; besides; moreover; furthermore; in addition,
拨打,6,bo1 da3,to call; to dial,
播放,6,bo1 fang4,to broadcast; to transmit,
波浪,6,bo1 lang4,wave,
玻璃,5,bo1 li5,"glass; nylon; plastic; CL:張|张[zhang1],塊|块[kuai4]",
波涛汹涌,6,bo1 tao1 xiong1 yong3,tumultuous situations,
剥削,6,bo1 xue1,to exploit; exploitation,
播种,6,bo1 zhong4,to sow seeds; sowing; seed,
博大精深,6,bo2 da4 jing1 shen1,wide-ranging and profound; broad and deep,
搏斗,6,bo2 dou4,to wrestle; to fight; to struggle,
博览会,6,bo2 lan3 hui4,exposition; international fair,
伯母,6,bo2 mu3,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[ge4],
薄弱,6,bo2 ruo4,weak; frail,
博士,4,bo2 shi4,doctor; court academician (in feudal China); Ph.D.,
博物馆,5,bo2 wu4 guan3,museum,
脖子,5,bo2 zi5,neck; CL:個|个[ge4],
补偿,6,bu3 chang2,compensate; make up,
补充,5,bu3 chong1,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4],
补救,6,bu3 jiu4,remedy,
哺乳,6,bu3 ru3,breast feeding; to suckle; to nurse,
补贴,6,bu3 tie1,to subsidize; subsidy; allowance,
捕捉,6,bu3 zhuo1,to catch; to seize; to capture,
不,1,bu4,(negative prefix); not; no,
布,5,bu4,cloth; to declare; to announce; to spread; to make known,
不安,5,bu4 an1,unpeaceful; unstable; uneasy; disturbed; restless; worried,
不必,5,bu4 bi4,need not; does not have to,
不但,4,bu4 dan4,not only (... but also...),
不得不,4,bu4 de2 bu4,have no choice or option but to; cannot but; have to; can't help it; can't avoid,
不得了,5,bu4 de2 liao3,desperately serious; disastrous; extremely; exceedingly,
不得已,6,bu4 de2 yi3,act against one's will; have no alternative but to; have to; to have no choice; must,
不断,5,bu4 duan4,unceasing; uninterrupted; continuous; constant,
步伐,6,bu4 fa2,pace; (measured) step; march,
不妨,6,bu4 fang2,there is no harm in; might as well,
部分,5,bu4 fen5,part; share; section; piece; CL:個|个[ge4],
不敢当,6,bu4 gan3 dang1,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me,
布告,6,bu4 gao4,posting on a bulletin board; notice; bulletin; to announce,
不顾,6,bu4 gu4,in spite of; regardless of,
不管,4,bu4 guan3,"no matter (what, how); regardless of; no matter",
不过,4,bu4 guo4,only; merely; no more than; but; however; anyway (to get back to a previous topic),
不好意思,5,bu4 hao3 yi4 si5,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth),
